Python path: /home/lekia.p/miniforge3/envs/pynta_env/bin/python
Conda environment: pynta_fairchem
ASE version: 3.22.1
2025-07-12 15:20:33,396 INFO Hostname/IP lookup (this will take a few seconds)
2025-07-12 15:20:33,396 INFO Launching Rocket
✅ Patched scipy.linalg.lapack.dsyevr
2025-07-12 15:20:37,048 INFO RUNNING fw_id: 137 in directory: /projects/westgroup/lekia.p/pynta/Fe/block_2025-07-12-17-50-43-929229/launcher_2025-07-12-19-19-50-867844
2025-07-12 15:20:37,061 INFO Task started: {{pynta.tasks.MolecularIRC}}.
     Step     Time          Energy         fmax
IRC:    0 15:22:30     -196.723944        0.0385
IRC:    1 15:22:37     -196.724653        0.0445
IRC:    2 15:22:45     -196.726448        0.0973
IRC:    3 15:22:52     -196.729566        0.1517
IRC:    4 15:22:55     -196.734033        0.2055
IRC:    5 15:22:59     -196.739836        0.2580
IRC:    6 15:23:03     -196.746908        0.3069
IRC:    7 15:23:06     -196.755150        0.3516
IRC:    8 15:23:10     -196.764470        0.3932
IRC:    9 15:23:13     -196.774795        0.4320
IRC:   10 15:23:17     -196.786064        0.4686
IRC:   11 15:23:21     -196.798218        0.5030
IRC:   12 15:23:24     -196.811211        0.5356
IRC:   13 15:23:28     -196.824995        0.5661
IRC:   14 15:23:31     -196.839503        0.5932
IRC:   15 15:23:35     -196.854638        0.6163
IRC:   16 15:23:39     -196.870294        0.6348
IRC:   17 15:23:42     -196.886368        0.6505
IRC:   18 15:23:46     -196.902851        0.6680
IRC:   19 15:23:49     -196.919829        0.6906
IRC:   20 15:23:53     -196.937434        0.7179
IRC:   21 15:23:57     -196.955762        0.7479
IRC:   22 15:24:00     -196.974854        0.7791
IRC:   23 15:24:04     -196.994738        0.8111
IRC:   24 15:24:07     -197.015423        0.8428
IRC:   25 15:24:11     -197.036886        0.8734
IRC:   26 15:24:14     -197.059091        0.9019
IRC:   27 15:24:18     -197.081971        0.9275
IRC:   28 15:24:21     -197.105449        0.9492
IRC:   29 15:24:25     -197.129411        0.9660
IRC:   30 15:24:29     -197.153720        0.9767
IRC:   31 15:24:33     -197.178204        0.9798
IRC:   32 15:24:36     -197.202658        0.9736
IRC:   33 15:24:40     -197.226817        0.9559
IRC:   34 15:24:43     -197.250370        0.9245
IRC:   35 15:24:47     -197.272953        0.8786
IRC:   36 15:24:50     -197.294264        0.8237
IRC:   37 15:24:54     -197.314112        0.7598
IRC:   38 15:24:57     -197.332065        0.6677
IRC:   39 15:25:04     -197.347259        0.5415
IRC:   40 15:25:08     -197.359048        0.3948
IRC:   41 15:25:11     -197.366895        0.2246
IRC:   42 15:25:15     -197.370331        0.0447
2025-07-12 15:25:15,497 INFO Task completed: {{pynta.tasks.MolecularIRC}}
2025-07-12 15:25:15,501 INFO Task started: FileTransferTask.
2025-07-12 15:25:15,514 INFO Task completed: FileTransferTask
2025-07-12 15:25:15,540 INFO Rocket finished
